        'ru_RU': {
        'add_by_post_code': "Добавить по почтовому индексу",
        'create_or_join_company': "Создать или присоединиться\nкомпания",
        'create_new_company': "Создать новую компанию",
        'join_a_company': "Присоединяйтесь к компании",
        'join_company': "Присоединяйтесь к компании",
        'select_company': "Выберите компанию",
        'or': "Или",
        'add_company_code': "Добавить код компании",
        'company_access_code': "Код доступа компании",
        'enter_company_code_note': "Пожалуйста, введите 6-значный код\nпредоставлено вашей компанией для присоединения",
        'company_request_approved_note': "Мы сообщим вам, как только ваша заявка на вступление в компанию будет одобрена.",
        'select_your_trade': "Выберите свою сделку",
        'whats_your_company_details': "Что ваша компания\nподробности?",
        'enter_valid_email_address': "Введите действительный адрес электронной почты.",
        'email_example_placeholder': "электронная почта@example.com",
        'number_placeholder': "0",
        'click_to_sign': "Нажмите, чтобы подписать",
        'sign': "Знак",
        'upload_an_image': "Загрузите изображение",
        'upload_a_video': "Загрузить видео",
        'scan': "Сканировать",
        'scan_failed': "Невозможно отсканировать документ. Пожалуйста, попробуйте еще раз.",
        'camera_permission_required': "Для сканирования документов требуется разрешение камеры.",
        'upload_a_file': "Загрузить файл",
        'upload_more_files': "Загрузите больше файлов",
        'record_audio': "Запись звука",
        'stop_recording': "Остановить запись",
        'record_again': "Записать еще раз",
        'microphone_permission_required': "Для записи звука требуется разрешение микрофона.",
        'microphone_permission_denied': "Разрешение на использование микрофона отклонено. Включите его в настройках.",
        'audio_recording_unavailable': "Аудиозапись недоступна. Остановите приложение и запустите его снова.",
        'audio_recording_failed': "Невозможно начать запись звука.",
        'business_email': "Деловая электронная почта",
        'how_many_users_Are_on_your_team': "Сколько пользователей\nв вашей команде?",
        'which_field_best_describe_your_business': "Какое поле лучше\nописывает ваш бизнес?",
        'business_field_info_note1': "Выбирайте инструменты для своей команды\nпотребности.",
        'business_field_info_note2': "Настройте свое рабочее пространство, выбрав\nфункции, которые вы будете использовать ежедневно",
        'operations': "Операции",
        '': "",
        'do_it_later': "Сделай это позже",
        'empty_company_list': "Компания не найдена",
        'empty_project_list': "Проект не найден",
        'are_you_sure_you_want_to_join': "Вы уверены, что хотите присоединиться?",
        'are_you_sure_you_want_to_stop_work': "Вы уверены, что хотите прекратить работу?",
        'please_enter_company_code': "Пожалуйста, введите код компании",
        'please_select_trade': "Пожалуйста, выберите сделку",
        'please_select_image': "Пожалуйста, выберите изображение",
        'please_select_attachment': "Пожалуйста, выберите вложение",
        'select_trade': "Выберите торговлю",
        'empty_trade_list': "Обмен не найден",
        'scan_barcode_note': "Поместите штрих-код внутри прямоугольника видоискателя, чтобы отсканировать его.",
        'error_invalid_qr_code_via_id_card_scan': "Неверный QR-код. Отсканируйте действительное удостоверение личности.",
        'company_details': "Подробная информация о компании",
        'upload_photo': "Загрузить фото",
        'preferred_company_logo_size': "Предпочтительный размер изображения: 600х250 пикселей.",
        'company_name': "Название компании",
        'head_office_location': "Расположение головного офиса",
        'currency': "Валюта",
        'select_currency': "Выберите валюту",
        'empty_currency_list': "Валюта не найдена",
        'dashboard': "Панель управления",
        'exit_warning': "Нажмите кнопку «Назад» еще раз, чтобы выйти.",
        'login_with_otp': "Войти с помощью OTP",
        'select_photo_from_': "Выбрать фото из:",
        'camera': "Камера",
        'gallery': "Галерея",
        'edit_photo': "Редактировать фото",
        'empty_image_selection': "Пожалуйста, выберите изображение",
        'ERR103': "Номер телефона уже существует",
        'start_work': "Начать работу",
        'continue_yesterdays_work': "Продолжить вчерашнюю работу",
        'timesheet': "Табель учета рабочего времени",
        'requests': "Запросы",
        'team': "Команда",
        'select_project': "Выберите проект",
        'search_projects_hint': "Поиск проектов...",
        'project_selected': "Проект выбран",
        'change': "Изменять",
        'back': "Назад",
        'all_projects': "Все проекты",
        'select_shift': "Выберите смену",
        'all_shifts': "Все смены",
        'work_time_on': "Время работы на",
        'break_time_on': "Время перерыва включено",
        'leave_time_on': "Оставьте время включенным",
        'total_work_hours_today': "Общее количество часов работы сегодня",
        'stop_shift': "Остановить сдвиг",
        'stop_work': "Остановить работу",
        'stop_work_question': "Прекратить работу?",
        'stop_work_job_confirm': "Ты уверен, что хочешь?\nперестать работать на этой работе?",
        'todays_worked_time': "Сегодня рабочее время",
        'shift_completed': "Смена завершена",
        'great_job_today': "Отличная работа сегодня!",
        'started': "Началось",
        'finished': "Законченный",
        'worked_time': "Время работы",
        'work_time': "Время работы",
        'total_earnings': "Общий доход",
        'penalties': "Штрафы",
        'todays_activity': "Сегодняшняя активность",
        'my_day_log': "Мой дневник дня",
        'check_in_addresses': "Адреса регистрации",
        'switch_project': "Переключить проект",
        'check_in_': "Регистрироваться",
        'check_out_': "Проверить",
        'select_address': "Выберите адрес",
        'choose_site_address': "Выберите адрес сайта",
        'choose_todays_task': "Выберите задачу на сегодня",
        'select_task': "Выберите задачу",
        'your_tasks': "Ваши задачи",
        'take_photo': "Сфотографироваться",
        'update_task_progress': "Обновление хода выполнения задачи",
        'how_much_task_completed': "Насколько эта задача была выполнена?",
        'task_fully_completed': "Задача отмечена как полностью выполненная",
        'change_progress_if_not_completed': "Вы можете изменить прогресс, если задание выполнено не полностью.",
        'add_note_optional': "Добавить примечание (необязательно)",
        'add_note_about_task': "Добавить примечание об этой задаче...",
        'save_progress': "Сохранить прогресс",
        'lets_start_work_day': "Начнём твой рабочий день",
        'lets_wrap_up_work_day': "Подведем итоги вашего рабочего дня",
        'ready_to_start_work': "Готов приступить к работе",
        'in_progress': "В ходе выполнения",
        'completed': "Завершенный",
        'status': "Статус",
        'sort_by_': "Сортировать по:",
        'filter_by_': "Фильтровать по:",
        'search_by_address_or_postcode': "Поиск по адресу или почтовому индексу",
        'details_of_work': "Деталь работы",
        'type_of_work': "Тип работы",
        'description': "Описание",
        'photos_before': "Фотографии До",
        'photos_after': "Фотографии После",
        'save': "Сохранять",
        'shift_summery': "Сводка смены",
        'total_hours': "Всего часов",
        'total_amount': "Общая сумма",
        'rejected_hours': "Отклоненные часы",
        'approved_hours': "Утвержденные часы",
        'door_installation': "Установка двери",
        'add_a_note': "Добавить заметку",
        'confirm_time': "Подтвердить время",
        'edit_entry': "Редактировать запись",
        'submit_for_approval': "Отправить на утверждение",
        'enter_your_note_here': "Введите здесь свою заметку...",
        'reload': "Перезагрузить",
        'confirm': "Подтверждать",
        'please_select_company_logo': "Пожалуйста, выберите логотип компании",
        'country_code': "Код страны",
        'select_country_code': "Выберите код страны",
        'conflicts_empty_value': "—",
        'widget': "Виджет",
        'notification': "Уведомление",
        'notifications': "Уведомления",
        'conflicts': "Конфликты",
        'are_you_sure_you_want_to_split': "Вы уверены, что хотите расстаться?",
        'are_you_sure_you_want_to_cut': "Вы уверены, что хотите вырезать?",
        'are_you_sure_you_want_to_resolve': "Вы уверены, что хотите решить?",
        'are_you_sure_you_want_to_discard': "Вы уверены, что хотите отказаться?",
        'timesheet_conflicts_section': "Конфликты расписаний",
        'billing_conflicts_section': "Конфликты выставления счетов",
        'team_conflicts_section': "Командные конфликты",
        'health_safety_conflicts_section': "Конфликты в области здравоохранения и безопасности",
        'store_conflicts_section': "Конфликты в магазине",
        'conflicts_timesheet_delete_only_tag': "Удалить только",
        'billing_conflict_tile_tag': "Платежная информация",
        'billing_conflict_sheet_badge': "Биллинг",
        'billing_conflict_billing_info_changes': "ИЗМЕНЕНИЯ ПЛАТЕЖНОЙ ИНФОРМАЦИИ",
        'conflicts_resolution_section': "РАЗРЕШЕНИЕ",
        'billing_conflict_keep_changes': "Сохранить изменения",
        'billing_conflict_discard': "Отказаться",
        'billing_conflict_before': "ДО",
        'billing_conflict_after': "ПОСЛЕ",
        'store_conflict_amount_limit_exceeded': "Превышен лимит суммы",
        'store_conflict_qty_exceeded': "Количество превышено",
        'store_conflict_qty': "QTY",
        'store_conflict_stock_overview': "ОБЗОР АКЦИЙ",
        'store_conflict_store_details': "ПОДРОБНОСТИ МАГАЗИНА",
        'store_conflict_product_details': "ДЕТАЛИ ПРОДУКТА",
        'store_conflict_total': "ОБЩИЙ",
        'store_conflict_max_limit': "МАКС. ПРЕДЕЛ",
        'store_conflict_unit_price': "ЦЕНА ЗА ЕДИНИЦУ ТОВАРА",
        'store_conflict_store': "Магазин",
        'store_conflict_product': "Продукт",
        'store_conflict_conflict_type': "Тип конфликта",
        'conflicts_mark_as_resolved': "Отметить как решенное",
        'notification_settings': "Настройки уведомлений",
        'settings': "Настройки",
        'trades': "Сделки",
        'blank': "Пустой",
        'user_permissions': "Разрешения пользователя",
        'widgets': "виджеты",
        'company_permissions': "Разрешения компании",
        'permissions': "Разрешения",
        'company_code': "Код компании",
        'company_admin': "Администратор компании",
        'company_address': "Адрес компании",
        'company_email_address': "Адрес электронной почты компании",
        'company_website': "Веб-сайт компании",
        'company_description': "Описание компании",
        'utr': "UTR",
        'registration_number': "Регистрационный номер",
        'vat_number': "Номер НДС",
        'company_established_Date': "Дата основания компании",
        'main_contracts': "Основные контракты",
        'working_hours': "Рабочие часы",
        'working': "Работающий",
        'ongoing': "Непрерывный",
        'insurance_number': "Номер страховки",
        'insurance_expires_on': "Срок действия страховки истекает",
        'number_of_employee': "Количество сотрудников",
        'edit_widget': "Редактировать виджет",
        'users': "Пользователи",
        'teams': "Команды",
        'generate_code': "Создать код",
        'random_code_generator': "Генератор случайных кодов",
        'generate': "Генерировать",
        'unauthorized_message': "Мы выходим из системы, поскольку обнаружили доступ к вашей учетной записи с другого устройства.",
        'search_user': "Поиск пользователя",
        'search_zone': "Зона поиска",
        'search_user_trade': "Поиск пользователя/торговли",
        'date_of_birth': "Дата рождения",
        'post_code': "Почтовый индекс",
        'my_address': "Мой адрес",
        'name': "Имя",
        'nin': "NIN",
        'name_on_account': "Имя в аккаунте",
        'bank_name': "Название банка",
        'account_number': "Номер счета",
        'sort_code': "Сортировать код",
        'personal_info': "Личная информация",
        'general': "Общий",
        'tax_info': "Налоговая информация",
        'bank_details': "Банковские реквизиты",
        'select_all': "Выбрать все",
        'unselect_all': "Отменить выбор всех",
        'create_new_team': "Создать новую команду",
        'edit_team': "Редактировать команду",
        'team_name': "Название команды",
        'select_supervisor': "Выберите супервайзера",
        'add_team_members': "Добавить членов команды",
        'select_team_members': "Выберите членов команды",
        'max_members': "Максимальное количество участников",
        'trade_wise_max_members': "Максимальное количество членов с точки зрения торговли",
        'select': "Выбирать",
        'add': "Добавлять",
        'delete': "Удалить",
        'edit': "Редактировать",
        'archive': "Архив",
        'un_archive': "Разархивировать",
        'archived_teams': "Архивные команды",
        'create_code': "Создать код",
        'are_you_sure_you_want_to_delete': "Вы уверены, что хотите удалить?",
        'are_you_sure_you_want_to_remove': "Вы уверены, что хотите удалить?",
        'are_you_sure_you_want_to_approve': "Вы уверены, что хотите одобрить?",
        'are_you_sure_you_want_to_cancel': "Вы уверены, что хотите отменить?",
        'are_you_sure_you_want_to_return_hire': "Вы уверены, что хотите вернуть этот предмет проката?",
        'are_you_sure_you_want_to_unarchive': "Вы уверены, что хотите разархивировать?",
        'are_you_sure_you_want_to_reject': "Вы уверены, что хотите отклонить?",
        'are_you_sure_you_want_to_appeal': "Вы уверены, что хотите подать апелляцию?",
        'sub_contractor_details': "Сведения о субподрядчике",
        'copy_code': "Копировать код",
        'copied_to_clip_board': "Скопировано в буфер обмена",
        'generate_password': "Создать пароль",
        'again': "Снова",
        'adjust_widgets': "Настроить виджеты",
        'all': "Все",
        'create_new_shift': "Создать новую смену",
        'edit_shift': "Изменить смену",
        'shift_name': "Название смены",
        'does_it_have_price_work': "Есть ли у него цена?",
        'start_shift': "Начать смену",
        'end_shift': "Конец смены",
        'start_break': "Начать перерыв",
        'end_break': "Конец перерыва",
        'add_another_break': "Добавить еще один перерыв",
        'select_days': "Выберите дни",
        'every_weekday': "Каждый будний день",
        'weekend': "Выходные",
        'shift': "Сдвиг",
        'breaks': "Перерывы",
        'break': "Перерыв",
        'on_break': "На перерыве",
        'on_leave': "В отпуске",
        'shifts': "Смены",
        'archived_shifts': "Архивированные смены",
        'billing_info': "Платежная информация",
        'my_day_logs': "Мои дневники дня",
        'name_on_utr': "Имя на УТР",
        'my_shift': "Моя смена",
        'cancel': "Отмена",
        'timesheets': "Табели учета рабочего времени",
        'time_tracking': "Учет времени",
        'archived_timesheets': "Архивированные табели учета рабочего времени",
        'edit_my_shift': "Редактировать мою смену",
        'reset': "Перезагрузить",
        'approve': "Утвердить",
        'reject': "Отклонять",
        'work_log': "Журнал работы",
        'my_account': "Мой счет",
        'switch_company': "Сменить компанию",
        'active': "Активный",
        'are_you_sure_you_want_to_switch': "Вы уверены, что хотите переключиться?",
        'delete_account': "Удалить аккаунт",
        'requested_note': "Запрошенное примечание",
        'approved_note': "Утвержденное примечание",
        'rejected_note': "Отклоненная записка",
        'companies': "Компании",
        'create_or_join': "Создать или присоединиться",
        'empty_note_error': "Пожалуйста, введите примечание",
        'add_worklog': "Добавить рабочий журнал",
        'add_project': "Добавить проект",
        'edit_project': "Редактировать проект",
        'archived_projects': "Архивные проекты",
        'update_project': "Обновить проект",
        'project_name': "Название проекта",
        'select_teams': "Выберите команды",
        'select_team': "Выберите команду",
        'site_address': "Адрес сайта",
        'budget': "Бюджет",
        'add_geofence': "Добавить геозону",
        'add_addresses': "Добавить адреса",
        'address': "Адрес",
        'postcode': "Почтовый индекс",
        'street': "Улица",
        'town': "Город",
        'project_code': "Код проекта",
        'start_date': "Дата начала",
        'end_date': "Дата окончания",
        'materials': "Материалы",
        'price_work': "Цена работы",
        'day_work': "Дневная работа",
        'total': "Общий",
        'project_all': "Проекты(Все)",
        'projects': "Проекты",
        'search_shift': "Поиск смены",
        'search_project': "Поиск проекта",
        'search_task': "Поиск задачи",
        'addresses': "Адреса",
        'archive_project': "Архив проекта",
        'continue_shift': "Продолжить смену",
        'admin': "Админ",
        'company': "Компания",
        'archived_address': "Архивированные адреса",
        'change_progress': "Прогресс изменений",
        'update_address': "Обновить адрес",
        'add_address': "Добавить адрес",
        'progress': "Прогресс",
        'address_postcode': "Адрес и почтовый индекс",
        'no_billing_info_available': "Платежная информация недоступна",
        'add_billing_info': "Добавить платежную информацию",
        'billing_information_submission_is_pending_for_approval': "Отправка платежной информации ожидает одобрения",
        'rates': "Цены",
        'this_billing_data_is_awaiting_for_approval': "Эти платежные данные ожидают подтверждения.",
        'do_you_want_to_leave_a_note': "Хотите оставить заметку?",
        'enter_note': "Введите примечание",
        'billing_info_request': "Запрос платежной информации",
        'trade ': "Торговля",
        'net_per_day': "Нетто в день",
        'billing': "Биллинг",
        'health_info': "Информация о здоровье",
        'emergency_contact': "Экстренный контакт",
        'health_questions': "Вопросы",
        'height_cm': "Высота (см)",
        'weight_kg': "Вес (кг)",
        'health_detail_note': "Деталь",
        'health_issue_detail_required': "Пожалуйста, введите подробную информацию по каждому вопросу, на который вы ответили «Да».",
        'health_safety': "Здоровье и безопасность",
        'my_requests': "Мои запросы",
        'documents': "Документы",
        'my_leaves': "Мои листья",
        'digital_id': "Цифровой идентификатор",
        'rent': "Арендовать",
        'history': "История",
        'hire_from': "Нанять у",
        'hire_to': "Нанять",
        'hire_order_details': "Детали заказа на аренду",
        'full_date': "Период",
        'approved_by': "Утверждено",
        'ordered_items': "Заказанные товары",
        'please_select_hire_from_first': "Пожалуйста, выберите дату начала аренды",
        'please_select_hire_to_date': "Пожалуйста, выберите Нанять на дату",
        'hire_to_must_be_on_or_after_from': "Hire To должно быть после Hire From.",
        'search_post_code': "Поиск почтового индекса",
        'postcode_address': "Почтовый индекс или адрес",
        'addresses_found': "адреса найдены",
        'privacy_policy': "Конфиденциальность и политика",
        'app_info': "Информация о приложении",
        'location': "Расположение",
        'project': "Проект",
        'project_details': "Детали проекта",
        'warning': "Предупреждение",
        'update_progress_warning_text_one': "Вы должны отмечать прогресс",
        'update_progress_warning_text_two': "выполнить задачу",
        'update_progress_warning_text_three': "Хотите изменить прогресс?",
        'msg_empty_before_attachment': "Пожалуйста, выберите хотя бы 1 перед фотографией.",
        'msg_empty_after_attachment': "Пожалуйста, выберите хотя бы 1 после фотографии.",
        'push': "Толкать",
        'feed': "Кормить",
        'announcement': "Объявление",
        'cis': "CIS",
        'edit_rate': "Изменить ставку",
        'join_company_date': "Дата присоединения к компании",
        'gross_per_day': "Валовая прибыль в день",
        'rate_history': "История ставок",
        'send': "Отправлять",
        'trade': "Торговля",
        'rate_request': "Запрос цены",
        'rate_not_added_or_approved': "Ваша ставка не добавлена ​​и не одобрена.",
        'note_min_length_error': "Примечание должно содержать не менее 60 символов.",
        'note_max_length_error': "Примечание не должно превышать 500 символов.",
        'lock': "Замок",
        'unlock': "Разблокировать",
        'mark_as_paid': "Отметить как оплаченное",
        'share': "Делиться",
        'view_amount': "Посмотреть сумму",
        'history_logs': "История/Журналы",
        'action': "Действие",
        'remove': "Удалять",
        'add_timesheet': "Добавить расписание",
        'select_date': "Выберите дату",
        'select_time': "Выберите время",
        'error_wrong_time_selection': "Время начала смены должно быть меньше времени окончания смены.",
        'call': "Вызов",
        'message': "Сообщение",
        'note': "Примечание",
        'notes': "Примечания:",
        'attachments': "Вложения:",
        'task_selected': "Задача выбрана",
        'add_trade': "Добавить торговлю",
        'trade_name': "Торговое название",
        'category': "Категория",
        'select_category': "Выберите категорию",
        'selected': "Выбрано",
        'empty_category_list': "Категория не найдена",
        'payment': "Оплата",
        'decoration': "Украшение",
        'quantity': "Количество",
        'estimation_duration': "Оценка продолжительности",
        'requested_shift': "Запрошенная смена",
        'actual_shift': "Фактическая смена",
        'write_announcement': "Написать объявление",
        'new_announcement_title': "Новое объявление",
        'write_announcement_placeholder': "Написать объявление",
        'please_write_announcement': "Пожалуйста, напишите объявление",
        'publish_announcement': "Опубликовать объявление",
        'upload_announcement_short': "ЗАГРУЗИТЬ",
        'all_company_users': "Все пользователи компании",
        'select_users': "Выберите пользователей",
        'select_user': "Выберите пользователя",
        'send_notification_as': "Отправить уведомление как",
        'enter_address': "Введите адрес",
        'area_size': "Размер площади",
        'attachment': "Вложение",
        'invite_user': "Пригласить пользователя",
        'invite': "Приглашать",
        'update_details': "Обновить детали",
        'update': "Обновлять",
        'add_leave': "Добавить отпуск",
        'edit_leave': "Редактировать отпуск",
        'leave_type': "Тип отпуска",
        'leaves': "Листья",
        'leave': "Оставлять",
        'leave_history': "Выйти из истории",
        'leave_calendar': "Выйти из календаря",
        'half_day': "Полдня",
        'paid': "Оплаченный",
        'unpaid': "Неоплачиваемый",
        'no_leaves_on_this_day': "Никаких листьев в этот день",
        'hire_history': "История найма",
        'leave_details': "Оставить детали",
        'all_day': "Весь день",
        'total_time_requested': "Общее запрошенное время",
        'work_days': "Рабочие дни",
        'start_time': "Время начала",
        'end_time': "Конец Времени",
        'error_wrong_start_date_selection': "Дата начала не может быть позже даты окончания.",
        'error_wrong_end_date_selection': "Дата окончания не может быть раньше даты начала.",
        'error_wrong_start_time_selection': "Время начала не может быть позже времени окончания.",
        'error_wrong_end_time_selection': "Время окончания не может быть раньше времени начала.",
        'date': "Дата",
        'last_working_date': "Последняя рабочая дата",
        'time': "Время",
        'email_copied': "Электронная почта скопирована",
        'you_have_not_join_any_company': "Вы не присоединились ни к одной компании",
        'please_create_or_join_a_company_to_continue': "Пожалуйста, создайте компанию или присоединитесь к ней, чтобы продолжить",
        'pdf_viewer': "Просмотрщик PDF-файлов",
        'pdf': "PDF",
        'requested': "Запрошено",
        'approved': "Одобренный",
        'rejected': "Отклоненный",
        'pending': "В ожидании",
        'new': "Новый",
        'complete': "Полный",
        'delete_project': "Удалить проект",
        'audio_player': "Аудиоплеер",
        'archive_address': "Адрес архива",
        'edit_address': "Изменить адрес",
        'delete_address': "Удалить адрес",
        'is_paid': "Оплачивается",
        'remove_user_note1': "Это приведет к безвозвратному удалению всех действий, истории и активности, связанных с пользователем. После удаления данные невозможно восстановить.",
        'remove_user_note2': "Чтобы удалить пользователя без потери его информации, выберите вместо этого опцию «Архивировать».",
        'remove_user': "Удалить пользователя",
        'delete_forever': "Удалить навсегда",
        'archived_users': "Заархивированные пользователи",
        'date_of_receipt': "Дата получения",
        'add_expense': "Добавить расходы",
        'edit_expense': "Редактировать расходы",
        'expenses': "Затраты",
        'sum_of_total': "Сумма всего",
        'car_register_number': "Регистрационный номер автомобиля",
        'enter_valid_car_register_number': "Введите буквы и цифры (максимум 10 символов)",
        'please_select_project': "Пожалуйста, выберите проект",
        'please_select_shift': "Пожалуйста, выберите смену",
        'upload_worklog_confirmation_message': "Вы уверены, что хотите загрузить данные рабочего журнала на сервер?",
        'enter_valid_amount': "Введите действительную сумму",
        'digital_id_card': "Цифровая идентификационная карта",
        'user_id': "ID пользователя",
        'valid_until': "Действует до",
        'joined': "Присоединился",
        'digital_id_slogan': "Время – деньги. Контролируйте это.",
        'penalty': "Штраф",
        'worklog_summary': "Сводка рабочего журнала",
        'expense': "Расход",
        'total_payable': "Общая сумма к оплате",
        'web': "Web",
        'app': "App",
        'capture_photo': "Сделать фото",
        'capture_video': "Захват видео",
        'photos': "Фотографии",
        'videos': "Видео",
        'video_compress_message': "Подождите… Видео сжимается.",
        'video_player': "Видеоплеер",
        'video_unable_to_load': "Не удалось загрузить это видео. Проверьте подключение или повторите попытку позже. Если проблема не исчезнет, ​​возможно, сервер занят.",
        'open_video_externally': "Открыть в другом приложении",
        'uploading_video_message': "Загружается видео, пожалуйста, подождите...",
        'would_you_like_to_change': "Вы уверены, что хотите продолжить это изменение?",
        'change_login_number': "Изменить номер входа",
        'make_an_admin': "Назначить администратора",
        'updating': "Обновление...",
        'empty_trade_warning_message': "У вашей компании пока нет сделок. Пожалуйста, добавьте сделку, чтобы продолжить.",
        'empty_address_message': "Пожалуйста, выберите адрес",
        'no_supervisor_teams_message': "Вы не являетесь руководителем какой-либо команды.",
        'purchasing': "Покупка",
        'orders': "Заказы",
        'request': "Запрос",
        'proceed': "Продолжить",
        'delivered': "Доставленный",
        'other': "Другой",
        'low_stock': "Низкий запас",
        'inventory_in_legend': "IN",
        'inventory_out_legend': "OUT",
        'trulock': "Trulock",
        'camden': "Camden",
        'incompleted': "Незавершенный",
        'damaged': "Поврежденный",
        'inventory': "Инвентарь",
        'bar_chart': "Гистограмма",
        'line_chart': "Линейный график",
        'hire': "Нанимать",
        'hired': "Наемный",
        'available': "Доступный",
        'in_service': "В эксплуатации",
        'delivery_to': "Доставка в",
        'downloading': "Загрузка",
        'please_wait': "Пожалуйста, подождите…",
        'download_failed': "Загрузка не удалась",
        'file_downloaded': "Файл загружен",
        'digital_id_card_downloaded': "Цифровое удостоверение личности загружено",
        'expected_qty': "Ожидаемое количество",
        'available_qty': "Доступное количество",
        'ordered': "Заказал",
        'add_category': "Добавить категорию",
        'update_category': "Обновить категорию",
        'check_in_note': "Примечание о регистрации",
        'ok': "Ok",
        'check_out_note': "Примечание при выезде",
        'task_note': "Примечание к задаче",
        'bookkeeper': "Бухгалтер",
        'checklog_summery': "Контрольный журнал Лето",
        'user_code': "Код пользователя",
        'appeal': "Обращаться",
        'my_analytics': "Моя аналитика",
        'appeal_note': "Апелляционная записка",
        'score': "Счет",
        'overall': "Общий",
        'invoices': "Счета-фактуры",
        'payments': "Платежи",
        'payslips': "Платежные ведомости",
        'certificates': "Сертификаты",
        'certificate_no': "Сертификат №.",
        'valid': "Действительный",
        'expiring_soon': "Срок действия скоро истекает",
        'expired_soon': "Срок действия истекает скоро",
        'expires_in_days': "Срок действия истекает через @days дней",
        'keep_documents_up_to_date': "Держите ваши документы в актуальном состоянии",
        'expired_documents_site_access_warning': "Документы с истекшим сроком действия могут помешать вам получить доступ к определенным сайтам.",
        'insurance': "Страхование",
        'driving_license': "Водительские права",
        'upload_certificate': "Загрузить сертификат",
        'kpi': "KPI",
        'certificate_type': "Тип сертификата",
        'please_select_certificate_type': "Пожалуйста, выберите тип сертификата",
        'document_type': "Тип документа",
        'expiry_date': "Дата истечения срока действия",
        'document_number': "Номер документа",
        'document_number_invalid': "Номер документа может содержать только буквы и цифры.",
        'upload_file': "Загрузить файл",
        'tap_to_upload': "Нажмите, чтобы загрузить",
        'certificate_upload_hint': "PDF, JPG или PNG (макс. 10 МБ)",
        'save_document': "Сохранить документ",
        'please_select_document_type': "Пожалуйста, выберите тип документа",
        'certificate_invalid_file_type': "Пожалуйста, выберите файл PDF, JPG или PNG.",
        'certificate_file_size_exceeded': "Размер файла должен быть 10 МБ или меньше.",
        'document_details': "Детали документа",
        'preview': "Предварительный просмотр",
        'actions': "Действия",
